movieId,title,genres,year
1,Toy Story,Animation|Adventure|Comedy|Family,1995
2,Jumanji,Adventure|Family|Fantasy,1995
3,Grumpier Old Men,Romance|Comedy,1995
4,Waiting to Exhale,Drama|Romance,1995
5,Father of the Bride II,Comedy|Family,1995
6,Heat,Action|Crime|Thriller|Drama,1995
7,Sabrina,Romance|Comedy|Drama,1995
8,Tom and Huck,Adventure|Family,1995
9,Sudden Death,Action|Thriller,1995
10,GoldenEye,Action|Adventure|Thriller,1995
11,Seven,Crime|Drama|Thriller,1995
12,"Usual Suspects, The",Crime|Mystery|Thriller,1995
13,Braveheart,Action|Drama|History|War,1995
14,Apollo 13,Adventure|Drama|History,1995
15,Batman Forever,Action|Adventure,1995
16,Casper,Comedy|Family|Fantasy,1995
17,Ace Ventura: When Nature Calls,Comedy|Adventure,1995
18,Pocahontas,Animation|Adventure|Drama|Family,1995
19,Clueless,Comedy|Romance,1995
20,Die Hard: With a Vengeance,Action|Thriller,1995
